type,description
Water,"['Colorless', 'Colorless'],Aqua Tail,'Flip a coin for each Water Energy attached to this Pok\u00e9mon. This attack does 10 more damage for each heads.',30+"
Fire,"['Colorless', 'Colorless'],Quick Attack,'Flip a coin. If heads, this attack does 20 damage plus 20 more damage.',20+"
Fire,"['Fire', 'Colorless', 'Colorless'],Will-o'-the-wisp,'',50"
Water,"['Water', 'Water', 'Water'],Freeze Dry,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',30"
Water,"['Water', 'Water', 'Water', 'Water'],Blizzard,'Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pok\u00e9mon. If tails, this attack does 10 damage to each of your own Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',50"
Lightning,"['Lightning'],Cry for Help,'Search your deck for a Lightning Pok\u00e9mon (excluding Pok\u00e9mon-ex), show it to your opponent, and put it into your hand. Shuffle your deck afterward.',"
Fire,"['Fire', 'Colorless'],Super Singe,'The Defending Pok\u00e9mon is now Burned.',10"
Fighting,"['Fighting', 'Fighting'],Stretch Kick,'If your opponent has any Benched Pok\u00e9mon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Fighting,"['Fighting', 'Fighting', 'Fighting'],High Jump Kick,'',50"
Lightning,"['Colorless'],Call for Family,'Search your deck for 2 Basic Pok\u00e9mon and put them onto your Bench. Shuffle your deck afterward.',"
Lightning,"['Lightning'],Static Shock,'',20"
Psychic,"['Colorless'],Down Draw,'Draw 2 cards from the bottom of your deck.',"
Psychic,"['Psychic', 'Colorless'],Feint Attack,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9-Powers, Pok\u00e9-Bodies, or any other effects on that Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless'],Nosedive,'This Pok\u00e9mon does 20 damage to itself.',40"
Colorless,"['Colorless'],Call for Family,'Search your deck for up to 2 Basic Pok\u00e9mon and put them onto your Bench. Shuffle your deck afterward.',"
Colorless,"['Colorless', 'Colorless'],Sharp Claws,'Flip a coin. If heads, this attack does 10 damage plus 20 more damage.',10+"
Grass,"['Colorless'],High Jump Kick,'',20"
Grass,"['Grass', 'Grass', 'Colorless'],White Ray,'If you have only 1 Prize card remaining, this attack does 90 more damage.',90+"
Lightning,"['Lightning'],Dazzle Blast,'Your opponent's Active Pok\u00e9mon is now Confused.',20"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Cablegram,'If you have exactly 3 Prize cards remaining, your opponent's Active Pok\u00e9mon is now Paralyzed.',100"
Colorless,"['Colorless', 'Colorless'],Continuous Tumble,'Flip a coin until you get tails. This attack does 30 damage times the number of heads.',30\u00d7"
Lightning,"['Colorless', 'Colorless'],Outrage,'Does 10 more damage for each damage counter on this Pok\u00e9mon.',20+"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Bolt Strike,'This Pok\u00e9mon does 40 damage to itself.',120"
Psychic,"['Psychic'],Mind Bend,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Psychic,"['Colorless', 'Colorless'],Gust,'',20"
Fighting,"['Fighting', 'Fighting'],Rock Tackle,'Dark Pupitar does 10 damage to itself. Dark Pupitar can't use this attack during your next turn.',40"
Fighting,"['Colorless', 'Colorless', 'Colorless'],Explosive Evolution,'Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pok\u00e9mon. Don't apply Weakness and Resistance. Then, search your deck for an Evolution card named Dark Tyranitar and put it on Dark Pupitar. (This counts as evolving Dark Pupitar.) Shuffle your deck afterward.',"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Psychic,'Does 10 more damage for each Energy attached to the Defending Pok\u00e9mon.',50+"
Psychic,"['Colorless', 'Colorless'],Pound,'',20"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Poison Gas,'The Defending Pok\u00e9mon is now Poisoned.',30"
Water,"['Water', 'Colorless', 'Colorless'],Powder Snow,'Your opponent's Active Pok\u00e9mon is now Asleep.',60"
Water,"['Water', 'Water', 'Colorless', 'Colorless'],Big Tusk,'This attack does 120 damage minus 10 damage for each damage counter on this Pok\u00e9mon.',120\u2212"
Water,"['Colorless'],Rescue,'Shuffle 3 Pok\u00e9mon from your discard pile into your deck.',"
Water,"['Water', 'Water'],Screw Tail,'Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.',30"
Grass,"['Grass'],Spit Poison,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.',"
Grass,"['Grass', 'Colorless'],Wrap,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Psychic,"['Colorless'],Rollout,'',20"
Fighting,"['Free'],Light Poison,'Flip a coin. If tails, this attack does nothing. If heads, the Defending Pok\u00e9mon is now Poisoned.',10"
Fighting,"['Fighting'],Jump On,'Flip a coin. If heads, this attack does 10 damage plus 10 more damage.',10+"
Fighting,"['Colorless'],Poison Sting,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.',"
Fighting,"['Fighting', 'Colorless'],Slash,'',20"
Fighting,"['Fighting', 'Colorless'],Twin Blade,'Does 30 damage to each Defending Pok\u00e9mon.',"
Fighting,"['Fighting', 'Fighting', 'Fighting', 'Colorless', 'Colorless'],Supersonic Claws,'This attack's damage is not affected by Resistance.',80"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Sharp Beak,'Flip a coin. If heads, this attack does 20 damage plus 30 more damage.',20+"
Water,"['Water', 'Colorless'],Ice Beam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Psychic,"['Colorless'],Hexed Mirror,'Shuffle your hand into your deck. Then, draw a number of cards equal to the number of cards in your opponent's hand.',"
Grass,"['Grass', 'Colorless'],Sleep Powder,'The Defending Pok\u00e9mon is now Asleep.',20"
Grass,"['Grass', 'Grass', 'Colorless'],Poison Powder,'The Defending Pok\u00e9mon is now Poisoned.',50"
Fire,"['Fire'],Incinerate,'Show the top card of your opponent's deck to all players. If it's a Trainer card, discard it.',"
Fire,"['Fire', 'Fire'],Rushing Magma,'Discard the top 5 cards of your deck. (If there are fewer than 5 cards in your deck, discard all of them.) This attack does 20 damage for each Energy card you discarded in this way.',"
Colorless,"['Colorless', 'Colorless'],Dark Song,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Asleep. If tails, the Defending Pok\u00e9mon is now Confused.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Slap Awake,'If the Defending Pok\u00e9mon is Asleep or Confused, this attack does 20 damage plus 20 more damage. Then, the Defending Pok\u00e9mon is no longer Asleep or Confused.',20+"
Colorless,"['Colorless', 'Colorless'],Ram,'',20"
Colorless,"['Grass', 'Lightning', 'Colorless'],Dragonbreath,'Flip a coin. If tails, this attack does nothing. If heads, the Defending Pok\u00e9mon is now Paralyzed.',60"
Fire,"['Colorless'],Hot Lick,'If the Defending Pok\u00e9mon is Durant, this attack does 50 more damage.',10+"
Fire,"['Fire', 'Colorless', 'Colorless'],Firebreathing,'Flip a coin. If heads, this attack does 20 more damage.',50+"
Fighting,"['Metal', 'Colorless'],Energy Press,'Does 20 more damage for each Energy attached to the Defending Pok\u00e9mon.',20+"
Fighting,"['Metal', 'Metal', 'Colorless'],Iron Breaker,'The Defending Pok\u00e9mon can't attack during your opponent's next turn.',80"
Grass,"['Grass'],Sleep Powder,'The Defending Pok\u00e9mon is now Asleep.',20"
Grass,"['Grass', 'Colorless'],Frustration,'Choose 1 of your opponent's Pok\u00e9mon that doesn't have any damage counters on it. This attack does 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Psychic,"['Colorless'],Confuse Ray,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Psychic,"['Darkness'],Junk Hunt,'Put 2 Item cards from your discard pile into your hand.',"
Psychic,"['Darkness'],Corner,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',"
Psychic,"['Colorless', 'Colorless'],Lunge,'Flip a coin. If tails, this attack does nothing.',"
Grass,"['Grass'],Mysterious Wing,'Your opponent may choose a Baby Pok\u00e9mon, Basic Pok\u00e9mon, or Evolution card from his or her discard pile and put it into his or her hand. Either way, you may do the same.',"
Grass,"['Psychic', 'Colorless'],Synchronize,'If Light Venomoth and the Defending Pok\u00e9mon have a different number of Energy cards attached to them, this attack does nothing.',40"
Colorless,"['Colorless'],Retaliate,'Does 10 damage times the number of damage counters on Bagon.',10\u00d7"
Water,"['Water'],Attack Command,'Does 10 damage times the number of Pok\u00e9mon in play (both yours and your opponent's).',10\u00d7"
Fighting,"['Colorless'],Fast Evolution,'Search your deck for an Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.',"
Fighting,"['Fighting', 'Colorless'],Double Scratch,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Water,"['Water', 'Colorless', 'Colorless'],Frost Barrier,'During your opponent's next turn, any damage done to this Pok\u00e9mon by attacks is reduced by 20 (after applying Weakness and Resistance).',40"
Water,"['Water', 'Water', 'Colorless', 'Colorless'],Shatter,'Discard any Stadium card in play.',90"
Colorless,"['Free'],Eeeeeeek,'Shuffle your hand into your deck, then draw 6 cards. Cleffa is now Asleep.',"
Fighting,"['Colorless'],Smash Punch,'Flip a coin. If tails, this attack does nothing.',20"
Fighting,"['Fighting', 'Colorless'],Submission,'Machop does 10 damage to itself.',30"
Lightning,"['Colorless'],Paralyzing Gaze,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',"
Lightning,"['Lightning', 'Lightning'],Static Shock,'',30"
Water,"['Colorless'],Smokescreen,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',"
Water,"['Water'],Reverse Thrust,'Switch Horsea with 1 of your Benched Pok\u00e9mon.',10"
Water,"['Water'],Triple Spin,'Flip 3 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Water,"['Water', 'Colorless', 'Colorless'],Frost Breath,'',50"
Colorless,"['Colorless'],Quick Attack,'Flip a coin. If heads, this attack does 10 damage plus 30 more damage.',10+"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Drill Peck,'',50"
Water,"['Water', 'Colorless'],Water Pulse,'The Defending Pok\u00e9mon is now Asleep.',20"
Grass,"['Colorless'],Iron Defense,'Flip a coin. If heads, prevent all effects of an attack, including damage, done to Burmy Sandy Cloak during your opponent's next turn.',"
Grass,"['Fighting', 'Colorless'],Tackle,'',30"
Fire,"['Fire'],Flare,'',20"
Fire,"['Colorless', 'Colorless'],Lunge,'Flip a coin. If tails, this attack does nothing.',40"
Colorless,"['Colorless'],Evolution Song,'Your opponent may choose 1 of his or her Pok\u00e9mon and search his or her deck for a card that evolves from that Pok\u00e9mon. Your opponent attaches that card to that Pok\u00e9mon. This counts as evolving that Pok\u00e9mon. Either way, you may do the same, and then each player who searched shuffles his or her deck.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Body Slam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Lightning,"['Colorless'],Charge Beam,'Flip a coin. If heads, attach an Energy card from your discard pile to this Pok\u00e9mon.',10"
Psychic,"['Psychic'],Little Grudge,'During your opponent's next turn, if this Pok\u00e9mon is Knocked Out by damage from an attack, discard an Energy attached to the Attacking Pok\u00e9mon.',"
Psychic,"['Psychic', 'Colorless'],Nightmare,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Asleep.',20"
Fighting,"['Colorless', 'Colorless', 'Colorless'],Wing Attack,'',40"
Lightning,"['Colorless', 'Colorless'],Electro Ball,'',40"
Lightning,"['Lightning', 'Lightning', 'Lightning'],Dual Bullet,'This attack does 50 damage to 2 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Grass,"['Grass', 'Colorless'],Agility,'Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Scyther.',10"
Grass,"['Grass', 'Grass', 'Grass'],Sharp Sickle,'',40"
Colorless,"['Colorless'],Charm,'If the Defending Pok\u00e9mon attacks during your opponent's next turn, any damage it does is reduced by 10 (before applying Weakness and Resistance).',"
Colorless,"['Colorless', 'Colorless'],Spike Ball Tackle,'Togepi does 10 damage to itself.',20"
Psychic,"['Colorless', 'Colorless'],Triple Poison,'Your opponent's Active Pok\u00e9mon is now Poisoned. Put 3 damage counters instead of 1 on that Pok\u00e9mon between turns.',"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Smash Uppercut,'This attack's damage isn't affected by Resistance.',80"
Psychic,"['Colorless'],Paralyzing Gaze,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',"
Psychic,"['Darkness', 'Colorless'],Shadow Bind,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',20"
Psychic,"['Darkness', 'Colorless'],Rising Lunge,'Flip a coin. If heads, this attack does 20 more damage.',10+"
Water,"['Water', 'Colorless'],Hydro Splash,'',70"
Fighting,"['Colorless', 'Colorless'],Bite,'',30"
Fighting,"['Colorless', 'Colorless'],Smash Turn,'Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',20"
Fighting,"['Colorless', 'Colorless'],Aerial Ace,'Flip a coin. If heads, this attack does 20 more damage.',20+"
Fighting,"['Metal', 'Metal', 'Colorless'],Metal Claw,'',80"
Grass,"['Grass'],Knock Away,'Flip a coin. If heads, this attack does 20 damage plus 10 more damage.',20+"
Fighting,"['Fighting', 'Fighting', 'Fighting'],Seismic Toss,'',120"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Stone Edge,'Flip a coin. If heads, this attack does 30 more damage.',60+"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Explosion,'This Pok\u00e9mon does 100 damage to itself.',150"
Psychic,"['Colorless'],Scratch,'',10"
Psychic,"['Darkness', 'Colorless'],Flash Claw,'Your opponent discards a card from his or her hand.',"
Colorless,"['Colorless'],Tackle,'',10"
Colorless,"['Colorless', 'Colorless'],Take Down,'This Pok\u00e9mon does 10 damage to itself.',30"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Guillotine,'',60"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Stunning Uppercut,'Flip 2 coins. If both of them are heads, the Defending Pok\u00e9mon is now Paralyzed. If both of them are tails, this attack does nothing.',80"
Psychic,"['Colorless'],Icy Wind,'Your opponent's Active Pok\u00e9mon is now Asleep.',"
Psychic,"['Darkness', 'Colorless'],Scratch,'',20"
Grass,"['Grass', 'Grass', 'Grass', 'Colorless'],Crisis Vine,'Your opponent's Active Pok\u00e9mon is now Paralyzed and Poisoned.',120"
Psychic,"['Colorless'],Collect,'Draw a card.',"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Spray Fluid,'',30"
Psychic,"['Colorless', 'Colorless'],Psychic Boom,'Does 20 damage plus 10 more damage for each Energy attached to the Defending Pok\u00e9mon.',20+"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Shadow Crush,'You may discard a Psychic Energy card attached to Claydol ex. If you do, discard an Energy card attached to the Defending Pok\u00e9mon.',60"
Colorless,"['Colorless'],Screaming Fit,'Both Active Pok\u00e9mon are now Confused.',"
Colorless,"['Colorless', 'Colorless'],Smash Kick,'',30"
Colorless,"['Fairy', 'Fairy', 'Colorless'],Spiral Drain,'Heal 30 damage from this Pok\u00e9mon.',80"
Water,"['Psychic', 'Darkness', 'Colorless', 'Colorless'],Crazy Headbutt,'Discard an Energy attached to this Pok\u00e9mon.',130"
Psychic,"['Psychic'],Hidden Power,'',10"
Water,"['Colorless'],Pound,'',10"
Water,"['Water', 'Colorless'],Surf,'',20"
Psychic,"['Psychic'],Psych Up,'During your next turn, this Pok\u00e9mon's Psych Up attack does 20 more damage (before applying Weakness and Resistance).',10"
Grass,"['Colorless'],Supersonic,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',"
Grass,"['Grass', 'Colorless'],Double-edge,'Ledyba does 10 damage to itself.',30"
Psychic,"['Darkness', 'Colorless'],Push Down,'Your opponent switches his or her Active Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',30"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Acid Spray,'Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.',70"
Psychic,"['Free'],Delivery,'Flip a coin. If heads, put any 1 card from your discard pile into your hand.',"
Psychic,"['Psychic'],Reaction,'Switch Drifloon with 1 of your Benched Pok\u00e9mon.',20"
Water,"['Colorless'],Tail Slap,'',10"
Water,"['Water', 'Colorless'],Icy Wind,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Asleep.',20"
Fighting,"['Darkness', 'Colorless'],Magma Jab,'This attack's damage is not affected by Resistance.',20"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Shoot Down,'If the Defending Pok\u00e9mon has Team Aqua in its name, the Defending Pok\u00e9mon is now Confused.',50"
Water,"['Water'],Ink Blast,'This attack does 20 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.',20+"
Water,"['Water', 'Colorless'],Tentacle Wrap,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed. If tails, during your opponent's next turn, your opponent pays more to retreat the Defending Pok\u00e9mon.',20"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Slashing Strike,'Flip a coin. If tails, Flygon ex can't use Slashing Strike during your next turn.',70"
Psychic,"['Grass'],Sleep Power,'The Defending Pok\u00e9mon is now Asleep.',10"
Psychic,"['Psychic'],Psyshock,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Grass,"['Colorless', 'Colorless'],\u3075\u307f\u3064\u3051[Stomp],'\u30b3\u30a4\u30f3\u30921\u56de\u6295\u3052\u30aa\u30e2\u30c6\u306a\u3089\u300110\u30c0\u30e1\u30fc\u30b8\u3092\u8ffd\u52a0\u3002 Flip a coin. If heads, this attack does 10 more damage.',20+"
Psychic,"['Darkness', 'Colorless'],Surprise Attack,'Flip a coin. If tails, this attack does nothing.',40"
Psychic,"['Darkness'],Moonless Madness,'Your opponent's Active Pok\u00e9mon is now Confused.',"
Psychic,"['Darkness', 'Colorless'],Dark Edge,'Discard an Energy attached to this Pok\u00e9mon.',30"
Psychic,"['Darkness'],Dark Clamp,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',10"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Double Swing,'Flip 2 coins. This attack does 60 damage times the number of heads.',60\u00d7"
Colorless,"['Colorless', 'Colorless'],Tail Bite,'Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.',10+"
Colorless,"['Psychic', 'Psychic'],Psychic,'Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pok\u00e9mon.',10+"
Fighting,"['Fighting'],Head Smash,'If the Defending Pok\u00e9mon would be Knocked Out by this attack, Rampardos does 40 damage to itself.',80"
Fighting,"['Fighting', 'Colorless'],Mold Breaker,'Any damage done to Rampardos by attacks is reduced by 20 (after applying Weakness and Resistance) until the end of your next turn.',40"
Colorless,"['Fairy'],Aromatherapy,'Heal 10 damage from each of your Pok\u00e9mon.',"
Grass,"['Colorless', 'Colorless'],Reflected Sunlight,'Attach up to 2 Energy cards from your hand to 1 of your Pok\u00e9mon.',"
Grass,"['Grass', 'Grass', 'Grass'],Solarbeam,'',40"
Fire,"['Colorless', 'Colorless'],Outrage,'Does 10 more damage for each damage counter on this Pok\u00e9mon.',20+"
Fire,"['Fire', 'Fire', 'Colorless'],Blue Flare,'Discard 2 Fire Energy attached to this Pok\u00e9mon.',120"
Grass,"['Colorless'],Call for Family,'Search your deck for a Grass Basic Pok\u00e9mon or Basic Pok\u00e9mon with Team Aqua in its name and put it onto your Bench. Shuffle your deck afterward.',"
Grass,"['Grass', 'Colorless', 'Colorless'],Thick Poison,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused and Poisoned. If tails, the Defending Pok\u00e9mon is now Poisoned.',20"
Psychic,"['Psychic'],Ominous Eyes,'Put 1 damage counter on 1 of your opponent's Pok\u00e9mon.',"
Fire,"['Colorless'],Bite,'',10"
Fire,"['Fire', 'Colorless', 'Colorless'],Combustion,'',40"
Water,"['Water', 'Water'],Giant Wave,'Mantine can't attack during your next turn.',40"
Water,"['Colorless'],Flail Around,'Flip 3 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Colorless,"['Fairy'],Fairy Wind,'',20"
Psychic,"['Psychic'],Shatter Shot,'This attack does 30 damage times the amount of Psychic Energy attached to this Pok\u00e9mon.',30\u00d7"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Damage Change,'Switch all damage counters on this Pok\u00e9mon with those on your opponent's Active Pok\u00e9mon.',"
Grass,"['Colorless', 'Colorless'],Tackle,'',20"
Colorless,"['Colorless', 'Colorless'],Sharpen,'',20"
Fighting,"['Fighting'],Super Slap Push,'Does 20 damage to each Defending Pok\u00e9mon.',"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Mega Throw,'If the Defending Pok\u00e9mon is a Pok\u00e9mon-ex, this attack does 40 damage plus 40 more damage.',40+"
Colorless,"['Fairy'],Petal Blizzard,'This attack does 10 damage to each of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Colorless,"['Fairy', 'Colorless'],Razor Leaf,'',30"
Water,"['Water'],Flipper Splash,'',10"
Water,"['Psychic', 'Colorless'],Migraine,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused. If tails, Psyduck is now Confused.',20"
Lightning,"['Colorless'],Attract Current,'Search your deck for a Lightning Energy card and attach it to 1 of your Pok\u00e9mon. Shuffle your deck afterward.',10"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Thunder Jolt,'Flip a coin. If tails, Manectric does 10 damage to itself.',50"
Water,"['Colorless'],Reckless Charge,'This Pok\u00e9mon does 10 damage to itself.',20"
Fire,"['Fire', 'Fire'],Combustion,'',30"
Colorless,"['Colorless'],Call for Family,'Search your deck for a Colorless Basic Pok\u00e9mon or Basic Pok\u00e9mon with Team Magma in its name and put it onto your Bench. Shuffle your deck afterward.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Team Play,'Does 10 damage times the number of Pok\u00e9mon in play with Team Magma in its name.',10\u00d7"
Water,"['Water'],Water Gun,'Does 10 damage plus 10 more damage for each Energy attached to Totodile but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.',10+"
Water,"['Water', 'Water', 'Colorless', 'Colorless'],Hypno Splash,'The Defending Pok\u00e9mon is now Asleep.',50"
Fighting,"['Colorless'],Invisible Hand,'If any of your opponent's Active Pok\u00e9mon are Evolved Pok\u00e9mon, search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.',"
Fighting,"['Colorless', 'Colorless'],Repulsion,'Flip a coin. If heads, your opponent returns the Defending Pok\u00e9mon and all cards attached to it to his or her hand. (If your opponent doesn't have any Benched Pok\u00e9mon or other Active Pok\u00e9mon, this attack does nothing.)',"
Grass,"['Grass', 'Colorless'],Bug Bite,'',30"
Lightning,"['Lightning'],Dazzle Blast,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Random Spark,'This attack does 40 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',n/a"
Colorless,"['Colorless', 'Colorless'],Guard Claw,'During your opponent's next turn, any damage done to Garchomp by attacks is reduced by 20 (after applying Weakness and Resistance).',40"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Speed Impact,'Does 120 damage minus 20 damage for each Energy attached to the Defending Pok\u00e9mon.',120-"
Grass,"['Colorless', 'Colorless'],Beat,'',20"
Psychic,"['Psychic', 'Colorless'],Hidden Power,'',20"
Water,"['Water', 'Colorless', 'Colorless'],Frozen Wings,'Discard a Special Energy attached to the Defending Pok\u00e9mon.',60"
Water,"['Water', 'Water', 'Colorless', 'Colorless'],Hail Blizzard,'This Pok\u00e9mon can't use Hail Blizzard during your next turn.',120"
Water,"['Colorless'],Double Pinchers,'Flip 2 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Water,"['Darkness', 'Colorless'],Dark Poison,'Discard a basic Energy card attached to Team Aqua's Corphish or this attack does nothing. The Defending Pok\u00e9mon is now Poisoned.',20"
Grass,"['Grass', 'Colorless'],Fury Cutter,'Flip 3 coins. If 1 of them is heads, this attack does 10 damage plus 10 more damage. If 2 of them are heads, this attack does 10 damage plus 20 more damage. If all of them are heads, this attack does 10 damage plus 40 more damage.',10+"
Fighting,"['Metal', 'Metal', 'Colorless'],Geo Impact,'If you have a Stadium card in play, this attack does 20 damage to each of your opponent's Benched Pok\u00e9mon that is the same type as the Defending Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',60"
Psychic,"['Psychic'],Hidden Power,'',10"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Lightning Ball,'',50"
Fighting,"['Colorless'],Gnaw,'',20"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Land Sonic,'If the Defending Pok\u00e9mon already has any damage counters on it, the Defending Pok\u00e9mon is now Confused.',40"
Grass,"['Grass'],Flower Aroma,'Remove 2 damage counters from Shaymin. The Defending Pok\u00e9mon is now Asleep.',10"
Grass,"['Grass', 'Colorless'],Damage Aid,'If the Defending Pok\u00e9mon is affected by a Special Condition, this attack does 30 damage plus 50 more damage. Then, remove all Special Conditions from the Defending Pok\u00e9mon.',30+"
Colorless,"['Fairy'],Crystal Barrier,'Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pok\u00e9mon during your opponent's next turn.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Wonder Blast,'This attack does 20 more damage for each Fairy Energy attached to this Pok\u00e9mon.',40+"
Lightning,"['Colorless'],Agility,'Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.',"
Lightning,"['Lightning', 'Colorless'],Thundershock,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Fighting,"['Metal'],Rollout,'',10"
Fighting,"['Colorless', 'Colorless'],Double Stab,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Drain Punch,'Remove from Regigigas FB a number of damage counters equal to the amount of Energy attached to the Defending Pok\u00e9mon.',30"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Rainbow Lariat,'Does 20 damage times the number of different types of Pok\u00e9mon SP you have in play.',20\u00d7"
Water,"['Water'],Bubble,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Water,"['Psychic'],Confuse Ray,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Grass,"['Water'],Healing Water,'Remove a number of damage counters from 1 of your Benched Pok\u00e9mon equal to the number of Energy cards attached to Shining Celebi. If the Pok\u00e9mon has fewer damage counters than that, remove all of them.',"
Grass,"['Grass', 'Psychic'],Miracle Leaf,'Flip a number of coins equal to the number of Energy attached to the Defending Pok\u00e9mon. If you get 1 or more heads, the Defending Pok\u00e9mon is now Asleep, Confused, or Poisoned (your choice).',"
Lightning,"['Lightning', 'Colorless'],Headlock,'Flip a coin. If heads, this attack does 30 more damage. If tails, your opponent's Active Pok\u00e9mon is now Paralyzed.',30+"
Lightning,"['Lightning', 'Lightning', 'Lightning'],Voltage Rush,'This Pok\u00e9mon does 50 damage to itself.',150"
